"cliente_id","genero","idade","data_inicio_contrato","tempo_contrato_meses","tipo_plano","valor_mensal","forma_pagamento","frequencia_mensal","duracao_media_treino_min","tem_personal_trainer","participa_aulas_coletivas","usa_app_academia","atrasos_pagamento_12m","teve_desconto_promocao","nps_score","numero_reclamacoes","participou_eventos","reducao_frequencia_3m","dias_desde_ultimo_acesso","tentou_cancelar_antes","churn","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000016","M","32","7/31/2023","28.4","Básico","89.13","Boleto","9","41","0","0","0","0","1","7","2","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000017","M","28","10/7/2025","2.1","Premium","219.52","Cartão de Crédito","11","58","0","0","0","0","0","7","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000018","F","26","10/11/2025","2","Básico","83.12","Cartão de Crédito","5","38","0","0","1","1","0","8","1","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000019","M","23","6/3/2025","6.3","Básico","87.53","Débito Automático","10","54","0","1","0","0","0","7","0","1","0","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000020","M","37","9/20/2024","14.7","Premium","203.21","Débito Automático","10","124","1","0","1","1","1","10","0","0","0","6","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000021","F","47","8/22/2024","15.6","Intermediário","131.84","Débito Automático","7","45","0","1","1","0","1","9","0","1","0","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000022","M","46","2/11/2023","34","Premium","198.46","Débito Automático","11","61","1","0","1","0","0","8","0","0","0","9","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000023","M","16","7/28/2022","40.5","VIP","257.71","Cartão de Crédito","10","99","0","0","0","0","1","6","1","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000024","M","47","10/18/2025","1.8","Intermediário","127.82","Cartão de Crédito","9","75","0","1","0","0","1","7","0","0","0","3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000025","M","28","10/19/2022","37.7","Intermediário","133.32","Cartão de Crédito","11","61","0","0","0","0","0","4","0","0","1","9","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000026","F","39","10/30/2024","13.4","Básico","95.82","Cartão de Crédito","9","47","1","0","1","1","1","6","0","0","0","8","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000027","M","21","12/6/2021","48.2","Básico","83.55","Boleto","12","81","0","1","0","0","1","7","0","0","1","3","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000028","F","33","4/21/2022","43.7","Premium","197.23","Débito Automático","17","56","0","0","1","0","0","6","1","1","0","19","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000029","F","35","1/5/2022","47.2","Intermediário","122.5","Débito Automático","7","119","0","1","1","0","0","3","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000030","M","16","11/21/2022","36.7","Básico","91.04","Cartão de Crédito","12","57","1","1","0","5","0","6","0","0","0","8","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000031","F","39","8/5/2023","28.2","Básico","92.13","Débito Automático","4","107","0","0","1","0","1","10","0","1","0","10","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000032","M","48","9/16/2024","14.8","Intermediário","154.52","Débito Automático","10","86","0","0","1","0","1","7","0","0","1","3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000033","M","29","6/6/2023","30.2","Intermediário","152.66","Cartão de Crédito","13","86","0","0","0","4","0","4","1","1","0","6","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000034","F","48","8/23/2022","39.6","Premium","194.17","Débito Automático","12","61","0","0","0","1","1","8","1","0","0","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000035","F","29","5/21/2024","18.7","Intermediário","125.38","PIX","11","53","0","0","0","1","1","9","1","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000036","F","42","5/29/2021","54.4","Básico","83.02","Cartão de Crédito","6","58","1","0","1","2","0","7","0","0","0","3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000037","M","16","1/26/2021","58.5","Intermediário","158.66","Débito Automático","13","91","0","0","1","0","0","6","3","1","0","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000038","M","61","11/28/2025","0.4","VIP","317.22","Cartão de Crédito","10","78","0","0","1","0","0","6","0","1","0","7","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000039","F","49","9/9/2021","51.1","Básico","80.75","Boleto","7","18","1","0","0","6","1","4","3","1","0","9","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000040","M","28","6/5/2021","54.2","Premium","186.74","Cartão de Crédito","7","32","0","1","1","1","1","2","0","0","1","4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000041","M","16","1/19/2025","10.7","Intermediário","139.33","Boleto","9","61","0","1","1","1","0","5","2","0","1","3","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000042","F","35","1/12/2022","46.9","Premium","190.29","Cartão de Crédito","5","78","0","0","1","0","0","7","1","0","0","6","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000043","M","16","7/30/2023","28.4","Básico","95.97","Débito Automático","10","59","1","0","1","0","0","2","1","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000044","F","37","1/15/2024","22.9","VIP","307.22","Débito Automático","13","52","1","1","0","0","0","10","2","0","1","3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000045","M","36","5/21/2024","18.7","Intermediário","144.41","Cartão de Crédito","10","40","0","0","1","1","0","8","2","0","1","0","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000046","F","20","1/27/2025","10.4","Premium","203.04","Débito Automático","12","87","0","0","0","1","0","6","0","1","0","6","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000047","M","45","9/27/2024","14.5","Básico","85.02","Cartão de Crédito","12","67","0","0","1","1","0","6","4","0","1","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000048","F","41","8/31/2021","51.3","Premium","209.37","Boleto","15","107","0","1","0","1","0","10","0","1","0","5","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000049","F","43","1/22/2024","22.6","Premium","215.75","Cartão de Crédito","15","32","0","1","0","0","1","6","2","0","0","9","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000050","M","32","5/16/2025","6.9","Intermediário","134.74","Débito Automático","8","82","0","0","1","2","1","4","0","0","1","0","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000051","F","16","6/5/2025","6.2","Intermediário","140.1","Cartão de Crédito","7","78","1","0","0","1","0","6","0","0","1","9","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000052","F","43","10/25/2023","25.6","Premium","221.88","Débito Automático","7","86","0","0","1","0","0","4","0","1","0","6","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000053","F","28","5/27/2025","6.5","Básico","82.87","Cartão de Crédito","10","85","0","1","1","0","0","7","2","0","1","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000054","F","16","12/7/2023","24.1","Premium","207.16","Cartão de Crédito","9","52","0","0","0","0","1","6","0","0","0","4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000055","F","48","3/12/2021","57","Básico","86.87","Cartão de Crédito","7","60","0","0","1","6","1","5","0","0","0","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000056","F","57","1/7/2024","23.1","Básico","93.96","Débito Automático","11","69","0","1","0","1","1","5","0","0","0","4","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000057","M","31","7/24/2022","40.6","Premium","180.84","Boleto","15","39","0","0","0","2","0","10","0","0","0","2","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000058","M","57","6/18/2024","17.8","Básico","93.31","Cartão de Crédito","9","90","0","0","0","0","1","6","0","0","0","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000059","M","33","6/3/2021","54.3","VIP","260.19","Débito Automático","10","15","0","1","0","0","0","10","1","0","1","9","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000060","M","27","9/14/2025","2.9","Premium","183.14","PIX","14","35","1","1","1","0","1","7","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000061","M","24","11/8/2021","49.1","Intermediário","148.88","Boleto","12","23","0","1","0","0","1","7","0","1","0","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000062","M","51","5/16/2023","30.9","Premium","211.92","Cartão de Crédito","10","92","0","1","1","0","1","3","0","1","0","6","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000063","F","22","12/9/2022","36.1","Premium","224.65","Débito Automático","5","70","0","0","1","0","0","10","1","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000064","M","40","3/31/2025","8.4","Básico","90.29","PIX","7","51","1","0","0","2","0","7","0","0","0","5","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000065","M","25","10/28/2023","25.5","Premium","206.4","Boleto","9","67","1","0","1","1","1","9","1","0","0","7","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000066","F","26","7/3/2025","5.3","Básico","94.04","Cartão de Crédito","5","71","0","1","1","0","1","8","1","1","0","5","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000067","M","44","11/7/2022","37.1","Intermediário","132.84","Cartão de Crédito","10","34","1","1","0","1","0","7","1","0","1","4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000068","F","27","4/20/2024","19.7","Intermediário","121.38","Débito Automático","12","68","0","0","0","0","0","8","1","0","0","8","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000069","M","27","4/18/2021","55.8","Premium","191.4","Débito Automático","15","99","1","1","1","3","1","3","0","0","0","5","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000070","F","45","6/3/2022","42.3","Básico","84.66","Débito Automático","13","104","0","1","1","0","1","2","0","1","0","22","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000071","F","51","6/24/2022","41.6","Básico","86.61","Débito Automático","12","86","0","1","1","0","0","6","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000072","M","39","12/24/2020","59.6","Intermediário","157.64","Cartão de Crédito","12","71","1","0","1","0","1","4","0","0","0","6","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000073","M","24","2/11/2021","58","Intermediário","152.09","Débito Automático","5","88","0","0","0","0","0","9","1","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000074","F","25","12/2/2023","24.3","Premium","226.7","Boleto","10","82","0","1","0","0","0","6","1","0","0","10","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000075","F","32","9/16/2022","38.8","Premium","229.83","Cartão de Crédito","11","36","0","0","0","4","0","8","0","0","0","9","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000076","F","35","11/13/2024","12.9","Básico","88.58","Débito Automático","12","42","1","0","0","2","1","9","1","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000077","F","20","12/30/2021","47.4","Básico","84.44","Débito Automático","11","80","1","0","1","0","0","2","0","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000078","M","40","7/22/2025","4.7","Intermediário","142.3","Cartão de Crédito","6","48","0","0","0","0","0","8","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000079","M","33","9/9/2025","3.1","Intermediário","155.15","Débito Automático","12","39","0","0","0","0","0","0","0","0","0","4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000080","M","16","3/28/2022","44.5","Básico","89.21","Débito Automático","12","97","0","0","1","0","0","9","1","1","0","8","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000081","F","20","9/1/2024","15.3","Básico","90.01","Cartão de Crédito","8","66","0","0","1","0","0","10","0","1","0","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000082","F","25","8/11/2021","52","Básico","82.59","Cartão de Crédito","4","63","0","0","0","2","1","5","0","0","0","5","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000083","M","31","4/28/2024","19.4","Básico","88.31","Cartão de Crédito","11","34","0","0","1","2","1","4","0","0","0","4","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000084","M","54","7/1/2025","5.4","Intermediário","135.38","Cartão de Crédito","11","53","0","0","0","6","1","7","0","0","0","1","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000085","M","34","2/24/2021","57.5","Premium","197.48","Boleto","13","56","0","0","1","0","0","10","0","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000086","M","21","8/22/2024","15.6","Intermediário","155.39","Débito Automático","8","42","0","1","0","3","0","5","0","0","0","7","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000087","F","34","2/1/2021","58.3","Premium","182.87","PIX","7","34","0","0","0","1","0","6","0","1","0","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000088","F","27","5/19/2025","6.8","Básico","99.34","Cartão de Crédito","5","108","0","1","1","0","1","7","0","1","0","5","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000089","F","35","10/25/2023","25.6","Intermediário","120.23","Cartão de Crédito","14","100","1","0","1","0","0","8","0","0","1","12","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000090","M","38","5/21/2024","18.7","Intermediário","157.72","Cartão de Crédito","12","62","0","0","1","3","1","7","1","1","1","3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000091","M","46","5/28/2023","30.5","Premium","207.3","Cartão de Crédito","15","31","0","0","1","2","1","5","2","1","0","3","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000092","F","31","5/20/2022","42.7","Premium","215.02","PIX","5","21","0","0","0","2","1","9","4","0","0","8","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000093","F","51","4/8/2021","56.1","Premium","189.26","Débito Automático","15","53","0","1","1","4","0","7","0","0","0","3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000094","F","42","11/25/2023","24.5","Premium","212.61","Débito Automático","8","15","0","0","0","2","0","10","0","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000095","F","23","1/12/2025","10.9","Básico","97.54","Débito Automático","9","53","0","1","1","0","0","7","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000096","F","58","11/14/2023","24.9","Premium","186.87","Débito Automático","5","15","0","1","0","1","0","4","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000097","F","35","12/15/2023","23.9","Premium","186.25","Cartão de Crédito","11","62","1","1","0","0","0","6","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000098","M","21","10/8/2024","14.1","VIP","280.3","Débito Automático","15","69","0","1","1","3","1","7","2","0","1","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000099","M","51","3/10/2022","45.1","Premium","187.99","Boleto","10","60","0","1","0","1","1","4","0","0","1","9","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000100","M","56","6/13/2024","17.9","Premium","185.43","Cartão de Crédito","9","119","0","0","1","2","0","6","1","0","0","6","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000101","M","31","1/4/2022","47.2","Intermediário","147.03","Débito Automático","9","59","0","0","0","0","0","3","0","0","0","5","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000102","F","25","2/11/2022","46","Premium","190.59","Débito Automático","9","108","0","0","1","0","1","9","0","0","0","12","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000103","M","29","4/24/2022","43.6","VIP","316.6","Débito Automático","13","72","1","1","0","0","1","10","0","0","0","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000104","F","40","7/18/2025","4.8","Premium","223","PIX","7","115","1","1","1","0","1","7","2","0","1","4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000105","F","47","7/13/2022","41","Intermediário","145.98","Cartão de Crédito","16","21","0","1","1","1","0","9","0","0","0","3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000106","M","38","5/21/2022","42.7","Básico","82.29","Débito Automático","12","37","0","1","1","0","0","4","1","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000107","M","33","12/26/2024","11.5","Premium","208.58","Débito Automático","13","57","1","0","0","0","1","2","0","0","0","17","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000108","F","49","12/14/2022","35.9","Premium","199.58","Débito Automático","3","105","0","0","1","2","1","6","0","0","0","15","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000109","M","28","11/9/2021","49","Premium","197.07","Débito Automático","11","59","0","0","1","2","1","5","0","0","0","16","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000110","M","44","7/28/2024","16.5","Básico","86.27","Boleto","7","47","0","0","1","1","0","5","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000111","M","28","1/11/2025","11","Premium","226.37","Cartão de Crédito","10","80","0","1","0","0","0","8","0","1","1","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000112","M","37","5/10/2023","31.1","Básico","94.75","Cartão de Crédito","14","87","1","0","1","1","1","9","0","0","0","3","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000113","F","30","10/26/2023","25.5","Premium","186.59","Boleto","11","45","1","0","1","0","0","7","2","0","1","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000114","F","31","6/7/2024","18.1","Básico","89.42","Débito Automático","11","47","1","0","0","0","0","8","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000115","F","27","5/11/2022","43","Premium","195.81","Cartão de Crédito","8","107","0","1","0","2","1","5","0","0","0","2","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000116","F","48","2/1/2022","46.3","Básico","99.46","Cartão de Crédito","7","96","0","1","1","0","1","8","0","1","0","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000117","F","23","10/28/2022","37.5","Básico","99.46","Débito Automático","9","102","0","1","0","1","0","8","0","1","1","5","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000118","M","23","9/18/2024","14.8","Intermediário","132.68","Débito Automático","14","88","1","0","0","0","1","10","0","0","0","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000119","F","57","2/8/2022","46.1","Básico","86.94","Cartão de Crédito","10","43","0","1","1","0","0","3","2","0","0","3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000120","F","43","2/16/2024","21.8","Premium","209.87","Débito Automático","11","64","1","0","0","0","1","9","0","0","0","15","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000121","F","16","3/21/2021","56.7","VIP","297.83","Cartão de Crédito","14","38","0","0","0","0","1","4","0","0","0","13","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000122","F","25","8/21/2021","51.7","VIP","271.21","Cartão de Crédito","10","89","0","0","1","2","0","6","0","1","1","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000123","M","16","8/5/2021","52.2","Básico","93.11","Débito Automático","9","51","0","0","0","0","1","0","0","0","1","15","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000124","M","20","8/19/2025","3.7","Premium","196.61","Débito Automático","8","22","1","0","0","4","1","10","1","0","0","3","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000125","M","16","8/29/2024","15.4","Intermediário","146.05","Débito Automático","11","67","0","0","1","0","1","10","3","0","0","3","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000126","M","30","5/3/2021","55.3","VIP","288.27","Cartão de Crédito","17","93","1","0","0","1","0","10","1","1","0","3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000127","F","18","10/7/2025","2.1","Premium","214.91","Débito Automático","13","30","0","0","0","0","1","3","0","0","0","4","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000128","F","32","6/7/2021","54.1","Básico","93.26","Boleto","11","61","0","0","1","0","1","6","0","0","1","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000129","M","16","3/5/2024","21.2","Intermediário","140.25","Boleto","8","51","0","0","0","3","0","6","2","1","1","8","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000130","F","32","9/12/2023","27","Básico","93.99","Débito Automático","9","89","0","1","0","0","1","10","1","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000131","M","27","6/11/2024","18","Premium","202.95","Boleto","10","15","0","0","1","1","0","8","2","1","0","2","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000132","M","50","7/29/2025","4.4","Intermediário","124.55","Cartão de Crédito","9","93","0","0","1","1","0","7","3","0","0","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000133","M","48","10/5/2024","14.2","Premium","189.01","Débito Automático","16","47","1","0","0","2","0","6","0","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000134","M","41","10/7/2022","38.1","Intermediário","129.74","Cartão de Crédito","8","61","0","1","0","2","1","10","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000135","F","28","1/12/2021","58.9","VIP","256.22","Cartão de Crédito","20","86","0","1","1","0","0","8","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000136","M","55","12/2/2021","48.3","VIP","321.04","Débito Automático","6","101","0","0","1","1","0","7","0","0","0","4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000137","F","16","3/7/2024","21.2","Intermediário","134.6","Débito Automático","18","66","0","0","1","0","0","7","3","0","0","13","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000138","F","16","10/2/2024","14.3","Premium","184.58","Débito Automático","16","46","0","1","1","0","0","3","1","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000139","M","30","4/9/2022","44.1","Premium","220.9","Débito Automático","13","51","0","0","0","0","1","6","0","1","1","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000140","F","59","2/23/2023","33.6","Premium","214.08","Débito Automático","7","94","0","0","0","4","1","4","0","0","0","2","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000141","F","29","9/23/2023","26.6","Básico","88.94","Cartão de Crédito","9","42","0","0","1","0","0","8","0","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI000142","M","29","12/26/2020","59.5","Básico","84.85","Débito Automático","20","73","0","0","1","0","1","9","1","0","0","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
